Building matrices with L=23
4
5 0    5 1
6 0    10 1
7 0    11 1
7 1    11 2
7 2    11 3
7 3    11 4
8 0    12 1
8 1    12 2
8 2    12 3
8 3    12 4
9 0    13 1
9 1    13 2
9 2    13 3
9 3    13 4
6 2    10 3
7 0    11 1
7 1    11 2
7 2    11 3
7 3    11 4
8 0    12 1
8 1    12 2
8 2    12 3
8 3    12 4
9 0    13 1
9 1    13 2
9 2    13 3
9 3    13 4
0 2    4 3
7 0    11 1
7 1    11 2
7 2    11 3
7 3    11 4
8 0    12 1
8 1    12 2
8 2    12 3
8 3    12 4
9 0    13 1
9 1    13 2
9 2    13 3
9 3    13 4
0 0    4 1
7 0    11 1
7 1    11 2
7 2    11 3
7 3    11 4
8 0    12 1
8 1    12 2
8 2    12 3
8 3    12 4
9 0    13 1
9 1    13 2
9 2    13 3
9 3    13 4
5 2    5 2
