Time limit set to 40 seconds
Number of threads set to 3
Policy set to 1
W = 8, L in [7, 27], num_boxes = 9
L = 27	t = 0.000 s
L = 25	t = 0.001 s
L = 24	t = 0.001 s
L = 23	t = 0.001 s
L = 22	t = 0.002 s
L = 21	t = 0.003 s
L = 20	t = 0.003 s
L = 19	t = 0.003 s
L = 18	t = 0.003 s
L = 17	t = 0.003 s
L = 16	t = 0.004 s
L = 15	t = 0.004 s
L = 13	t = 0.004 s
L = 12	t = 0.004 s
L = 11	t = 0.019 s
L = 10	t = 0.025 s
L = 9	t = 4.733 s
L = 8	t = 4.735 s
Time limit reached
Nodes explored:   4377039
Failed nodes:     2188478
Propagators used: 684248028
Depth reached:    41
